year,Italy,Spain,Germany,France,Switzerland,Slovenia,Belgium,United Kingdom,Ireland,Netherlands,Croatia,Serbia,Portugal,Austria,Greece
1987,13.176499999999999,14.460916666666668,7.58925,12.955166666666665,7.137083333333333,9.726833333333333,9.0685,8.33025,9.438666666666666,9.042416666666666,11.398666666666665,10.204916666666668,15.605583333333334,6.1695,14.906833333333333
1988,13.507666666666667,14.161333333333333,9.195583333333333,13.580916666666667,7.9245833333333335,10.416333333333332,10.456999999999999,8.973083333333333,9.865333333333334,10.537166666666666,11.989916666666666,10.476166666666666,15.099416666666668,7.082166666666667,15.091833333333334
1989,13.329166666666667,15.045916666666665,9.679833333333333,13.930083333333334,8.135916666666667,10.528,10.921166666666666,9.5875,10.29575,10.932,12.096083333333333,10.607416666666667,16.062083333333334,7.372416666666666,14.878916666666667
1990,13.716916666666668,14.762083333333335,9.6895,14.038833333333335,8.255583333333334,10.726333333333335,10.935333333333332,9.674583333333333,10.312666666666667,11.000333333333332,12.434416666666666,11.196083333333334,15.742750000000001,7.344,15.499333333333334
1991,12.853499999999999,14.007166666666665,8.523083333333334,13.1395,7.405000000000001,9.758000000000001,9.709166666666667,8.828333333333333,9.825166666666666,9.75125,11.33325,9.747083333333334,15.232833333333334,6.357916666666667,14.412833333333333
1992,13.58175,13.95525,9.505833333333333,13.462916666666667,8.059666666666667,10.925333333333334,10.48925,9.025,9.789,10.752166666666668,12.549083333333334,10.975583333333335,15.111333333333334,7.615583333333333,14.785333333333334
1993,13.409666666666666,13.500666666666667,8.6335,13.150166666666665,7.617333333333334,10.35,9.925833333333333,8.66975,9.641583333333333,9.8475,11.931583333333334,10.414416666666666,14.520166666666666,6.858666666666667,15.040583333333332
1994,14.284833333333333,14.651000000000002,9.847,14.156166666666666,8.821083333333332,11.502,10.99675,9.15075,9.884833333333333,10.842,13.11,11.682250000000002,15.312833333333332,8.164916666666667,16.044666666666668
1995,13.234083333333333,15.072166666666666,9.0335,13.89975,7.751916666666666,10.289583333333335,10.69675,9.419583333333334,10.518916666666668,10.594666666666667,11.881749999999998,10.276166666666667,16.347416666666668,6.8465,15.10225
1996,13.007,14.15125,7.374416666666666,13.013916666666667,6.974583333333334,9.445,8.893166666666668,8.551166666666667,9.591166666666668,8.739333333333333,11.125750000000002,9.824916666666667,15.296333333333335,5.863250000000001,14.84675
1997,13.838833333333334,15.105916666666667,9.048666666666668,14.095999999999998,8.212416666666668,10.382916666666667,10.472416666666666,9.644250000000001,10.6835,10.409416666666667,11.827416666666666,9.984,16.267583333333334,7.025083333333334,14.76325
1998,13.662333333333335,14.552,9.17175,13.720666666666666,7.957999999999999,10.597333333333333,10.369166666666667,9.46275,10.4595,10.518583333333334,12.100916666666668,10.568333333333333,15.644999999999998,7.2227500000000004,15.506083333333335
1999,13.763,14.3665,9.62075,13.904916666666667,7.902833333333334,10.686916666666667,10.93425,9.663333333333332,10.458166666666665,11.086166666666665,12.3165,10.917250000000001,15.279083333333332,7.23425,15.992166666666668
2000,14.1255,14.46875,10.020416666666666,13.967333333333334,8.562666666666667,11.590583333333335,11.03425,9.379666666666667,10.13075,11.103499999999999,13.226416666666665,11.790999999999999,15.393,8.084916666666667,15.673333333333334
2001,13.95425,14.616083333333334,9.090416666666666,13.6965,7.97975,10.894666666666666,10.543333333333333,9.140083333333335,10.023083333333334,10.579,12.411,10.913166666666667,15.40775,7.188916666666667,15.931583333333334
2002,13.934,14.647916666666667,9.637333333333334,14.048166666666667,8.484833333333333,11.337250000000003,11.03575,9.679666666666668,10.420666666666667,11.015500000000001,12.898916666666667,11.413416666666668,15.463166666666666,7.91525,15.622333333333332
2003,14.296916666666666,14.996916666666666,9.494250000000001,14.337916666666667,8.669749999999999,11.009666666666668,10.870249999999999,9.742083333333333,10.522416666666667,10.699833333333332,12.567000000000002,10.795499999999999,15.815833333333332,7.509333333333334,15.472583333333334
2004,13.559833333333332,14.396416666666667,9.053416666666667,13.664083333333332,7.8460833333333335,10.241249999999999,10.452583333333333,9.737333333333334,10.439083333333334,10.6275,11.919416666666665,10.6165,15.463833333333334,6.906083333333334,15.455666666666668
2005,13.028583333333332,14.303583333333334,9.128416666666666,13.694250000000002,7.573916666666666,9.795083333333332,10.727833333333331,9.65525,10.575750000000001,10.823666666666666,11.376249999999999,9.922583333333334,15.536916666666668,6.6095,15.175333333333334
2006,13.787333333333335,15.105916666666667,9.706000000000001,14.143833333333333,8.33775,10.723416666666667,11.09525,9.943416666666666,10.654166666666667,11.291333333333334,12.241666666666667,10.574166666666667,16.002583333333334,7.277583333333333,15.212666666666665
2007,14.073333333333332,14.241333333333332,9.9975,13.896583333333332,8.55275,11.462583333333335,11.1455,9.797500000000001,10.842666666666666,11.388416666666666,13.0665,11.745916666666666,15.241083333333334,7.976500000000001,16.08325
2008,13.88125,14.2295,9.642166666666666,13.5815,8.109666666666667,11.247916666666669,10.504916666666665,9.34825,10.15875,10.794583333333334,12.977083333333333,11.666333333333334,15.270000000000001,7.801916666666667,16.054916666666667
2009,14.052916666666667,14.968083333333333,9.359166666666667,13.941666666666668,8.300666666666666,11.237416666666666,10.6285,9.453333333333333,10.15725,10.707166666666668,12.875083333333334,11.412166666666666,15.9835,7.616,15.956166666666666
2010,13.324916666666667,14.246,8.009,13.115416666666668,7.226500000000001,10.194,9.361749999999999,8.394333333333334,9.258166666666666,9.264583333333333,11.960833333333333,10.9925,15.68425,6.6490833333333335,16.37125
2011,14.173166666666667,15.321083333333334,9.819583333333334,14.479583333333332,8.847333333333333,11.208083333333333,11.305333333333332,9.907916666666667,10.345416666666667,11.076,12.755166666666668,10.823,16.066416666666665,7.855583333333333,15.261333333333335
2012,14.079,14.58,9.227166666666667,13.707166666666666,8.15925,11.27825,10.351833333333333,9.037416666666667,10.035833333333334,10.438166666666666,12.9735,11.451749999999999,15.392166666666666,7.611333333333334,16.0395
2013,14.165,14.858875000000001,9.23525,13.584624999999999,8.1775,11.74475,10.060125,8.9975,9.97475,9.8565,13.588999999999999,12.843625,15.88925,8.055125,17.1535
